# 번호,X 시작지점,X 끝지점,Y 시작지점,Y 끝지점,가로크기
0,32256,32767,32768,33279,512
1,32640,32767,32768,32895,128
2,32640,32831,32768,32895,192
3,32640,32831,32768,32959,192
4,32384,34303,32000,33535,1920
5,32704,32767,32768,32831,64
6,32704,32767,32768,32831,64
7,32704,32831,32704,32831,128
8,32704,32831,32704,32831,128
9,32704,32831,32704,32831,128
10,32704,32831,32704,32831,128
11,32704,32831,32704,32831,128
12,32704,32831,32704,32831,128
13,32704,32831,32704,32831,128
14,32512,33023,32768,32831,512
15,32704,32767,32768,32831,64
16,32704,32767,32768,32831,64
17,32704,32767,32768,32831,64
18,32704,32767,32768,32831,64
19,32704,32831,32704,32831,128
20,32704,32831,32704,32831,128
21,32704,32831,32704,32831,128
23,32704,32831,32704,32831,128
24,32704,32831,32704,32831,128
25,32704,32831,32704,32831,128
26,32704,32831,32704,32831,128
27,32704,32831,32704,32831,128
28,32704,32831,32704,32831,128
29,32704,32767,32768,32831,64
30,32704,32831,32704,32831,128
31,32704,32831,32704,32831,128
32,32640,32767,32768,32895,128
33,32640,32767,32768,32895,128
35,32640,32767,32768,32895,128
36,32640,32767,32768,32895,128
37,32640,32767,32768,32895,128
43,32704,32831,32704,32831,128
44,32704,32831,32704,32831,128
45,32704,32831,32704,32831,128
46,32704,32831,32704,32831,128
47,32704,32831,32704,32831,128
48,32704,32831,32704,32831,128
49,32704,32831,32704,32831,128
50,32704,32831,32704,32831,128
51,32640,32831,32704,32895,192
52,32640,32767,32768,32895,128
53,32704,32831,32704,32831,128
54,32704,32831,32704,32831,128
55,32704,32767,32704,32895,64
56,32704,32831,32704,32831,128
61,32640,32767,32768,32895,128
63,32576,32895,32640,32959,320
64,32512,32639,32768,32895,128
65,32704,32831,32768,32895,128
66,32704,32895,32768,32959,192
67,32640,32831,32704,32895,192
68,32576,33023,32512,32959,448
69,32512,32831,32704,33023,320
70,32576,33023,32640,33087,448
72,32704,32831,32768,32895,128
73,32704,32831,32768,32895,128
74,32704,32831,32832,32959,128
75,32704,32831,32768,32959,128
76,32704,32831,32768,32895,128
77,32704,32831,32768,32895,128
78,32832,32959,32704,32831,128
79,32704,32831,32768,32895,128
80,32704,32831,32768,32895,128
81,32704,32831,32768,32895,128
82,32640,32767,32768,32895,128
83,32704,32767,32768,32831,64
84,32704,32767,32768,32831,64
85,32576,32767,32704,32895,192
86,32768,32959,32704,32895,192
88,33472,33535,32704,32767,64
89,32640,32767,32832,32959,128
90,32640,32767,32832,32959,128
91,32640,32767,32832,32959,128
92,32640,32767,32832,32959,128
93,32640,32767,32832,32959,128
94,32640,32767,32832,32959,128
95,32640,32767,32832,32959,128
96,32640,32767,32832,32959,128
97,32640,32767,32832,32959,128
98,32640,32767,32832,32959,128
99,32704,32767,32832,32895,64
101,32704,32895,32704,32895,192
102,32704,32895,32704,32895,192
103,32704,32895,32704,32895,192
104,32576,32767,32768,32959,192
105,32576,32767,32768,32959,192
106,32576,32767,32768,32959,192
107,32576,32767,32768,32959,192
108,32576,32767,32768,32959,192
109,32576,32767,32768,32959,192
110,32704,32895,32704,32895,192
200,32576,32831,32768,33023,256
201,32640,33535,32704,32959,896
202,32640,33535,32704,32895,896
203,32640,33535,32704,32895,896
204,32640,33535,32704,32895,896
205,32640,33535,32704,32895,896
206,32640,33535,32704,32895,896
207,32640,33535,32704,32895,896
208,32640,33535,32704,32895,896
209,32640,33535,32704,32895,896
210,32640,33535,32704,32895,896
211,32640,33535,32704,32895,896
213,32704,32767,32768,32831,64
217,32640,32767,32768,32831,128
221,32704,32831,32704,32831,128
237,32704,32767,32768,32831,64
240,32640,32767,33024,33151,128
241,32704,32831,32832,32959,128
242,32704,32831,32896,33023,128
243,32640,32767,32832,33023,128
244,32704,33023,32768,33087,320
248,32704,32831,32768,32895,128
249,32704,32831,32832,32895,128
250,32704,32831,32768,32895,128
251,32768,32831,32768,32831,64
280,32832,32959,32704,32831,128
281,32704,32831,32768,32895,128
282,32704,32831,32768,32895,128
283,32704,32831,32768,32895,128
284,32640,32767,32768,32895,128
300,32832,32959,32512,32639,128
301,32640,32767,32768,32959,128
303,32576,32895,32576,32895,320
340,32640,32831,32704,32895,192
350,32640,32767,32768,32895,128
360,32704,32767,32768,32831,64
370,32704,32767,32768,32831,64
